Month,Hour,temp_celsius,humidity,wind_speed,generation wind onshore,total load actual
3,13,21.37,26,1,9111.0,37123.0
8,19,26.0,69,2,4046.0,31158.0
5,8,14.0,71,1,4864.0,24870.0
4,21,13.0,54,6,6922.0,29478.0
6,12,24.67,53,1,5643.0,32274.0
4,7,13.0,87,1,3955.0,20370.0
8,21,23.89,74,3,2830.0,31150.0
4,1,15.35,84,0,8446.0,23612.0
10,20,21.0,83,2,1949.0,33406.0
7,23,22.62,74,0,5055.0,31123.0
6,1,22.0,46,5,4972.0,22180.0
6,15,33.0,19,9,15536.0,33289.0
6,11,27.0,57,1,2248.0,35413.0
11,21,16.0,31,3,6563.0,30562.0
7,1,22.19,73,1,8534.0,24186.0
8,10,26.0,74,2,1822.0,34631.0
5,8,16.0,82,1,3564.0,30057.0
7,7,17.86,90,1,4679.0,23332.0
9,7,19.0,48,1,7298.0,29296.0
1,3,4.0,86,3,5368.0,23729.0
3,20,19.0,59,1,2891.0,31169.0
11,7,13.0,87,4,1106.0,22666.0
8,16,31.04,58,6,8587.0,33027.0
1,20,13.0,58,1,10269.0,32858.0
9,18,25.25,30,3,5537.0,23647.0
9,2,22.0,78,1,2840.0,23979.0
5,23,18.9,77,1,3583.0,26840.0
6,16,30.0,58,5,4147.0,31760.0
2,19,10.0,46,4,1973.0,36206.0
3,10,14.0,58,9,3244.0,28699.0
9,21,22.0,68,3,7391.0,33930.0
6,13,26.0,44,1,2644.0,26987.0
4,8,14.74,69,1,969.0,30825.0
12,21,10.49,93,2,8216.0,30756.0
7,2,26.0,74,3,2302.0,25631.0
8,22,25.82,78,4,6391.0,30000.0
6,10,20.0,60,3,2047.0,24733.0
4,5,9.26,93,1,7845.0,18878.0
5,15,24.4,41,3,4012.0,30135.0
3,1,9.62,91,8,11085.0,24536.0
7,20,33.85,46,3,4611.0,36535.0
4,7,11.0,87,2,5638.0,22593.0
4,2,14.0,62,2,10221.0,23066.0
9,14,30.0,55,3,5511.0,37509.0
1,6,10.0,76,4,7837.0,26439.0
2,5,6.41,79,2,7359.0,23112.0
5,19,27.0,28,5,1665.0,38462.0
9,20,28.74,58,4,2722.0,32303.0
5,23,16.29,55,1,10777.0,25289.0
7,5,19.52,83,1,5520.0,21402.0
3,9,6.19,75,1,837.0,33990.0
1,1,4.6,70,3,9127.0,26815.0
7,20,30.82,66,3,5255.0,28619.0
9,5,20.79,83,0,3216.0,24609.0
1,18,15.0,44,2,2659.0,34663.0
4,21,13.0,76,0,6889.0,31267.0
8,18,30.0,55,5,3528.0,34479.0
5,14,26.82,26,2,8383.0,27341.0
9,2,22.0,88,1,4925.0,24825.0
7,0,25.0,65,2,3995.0,25719.0
7,22,24.64,74,5,7170.0,29810.0
10,2,13.89,96,1,5365.0,22565.0
10,5,16.0,87,1,3587.0,22720.0
8,20,30.0,66,4,3851.0,29591.0
5,15,36.92,15,8,10171.0,32782.0
4,22,17.02,63,1,2642.0,32024.0
11,22,10.0,76,1,4867.0,31664.0
12,0,11.0,100,2,3872.0,26394.0
11,15,20.0,72,5,2767.0,31511.0
9,14,25.31,47,1,2554.0,27179.0
2,13,12.0,40,5,10277.0,37451.0
7,20,30.0,58,3,4857.0,27598.0
1,19,11.0,76,3,8595.0,30577.0
9,19,24.0,64,5,3309.0,30433.0
3,10,11.5,66,1,6367.0,26806.0
3,21,10.69,71,0,3184.0,35766.0
1,5,8.0,67,4,10092.0,25549.0
3,23,10.76,33,4,10830.0,28535.0
3,19,24.0,22,5,10664.0,25890.0
3,12,12.77,48,4,10938.0,34514.0
9,14,22.84,29,9,8380.0,30997.0
10,22,12.0,66,3,2533.0,30834.0
8,19,32.79,55,3,2507.0,31849.0
1,15,15.0,41,0,5768.0,35021.0
6,6,22.0,78,1,1371.0,26752.0
5,15,21.0,21,1,4806.0,30853.0
6,10,27.93,23,1,961.0,33257.0
2,1,8.85,81,2,1351.0,24903.0
4,8,14.48,76,1,9046.0,31382.0
1,15,16.79,40,3,2694.0,32958.0
7,11,28.02,54,0,2306.0,35642.0
12,1,5.49,93,2,1404.0,21353.0
11,13,22.0,30,2,5771.0,29268.0
4,19,15.0,62,4,12977.0,29098.0
9,23,19.07,83,4,5637.0,27833.0
6,10,28.0,39,1,1026.0,33562.0
6,8,17.86,70,1,1600.0,24019.0
4,20,13.35,56,2,9266.0,29511.0
7,8,22.0,83,1,2337.0,25560.0
10,22,23.0,69,1,8375.0,32412.0
2,6,11.8,70,12,10726.0,22427.0
3,18,17.0,67,3,4147.0,35528.0
5,7,19.0,82,1,671.0,19726.0
12,2,11.0,87,2,3963.0,23786.0
11,19,20.0,56,3,5985.0,29689.0
2,3,2.12,92,1,8204.0,19558.0
9,2,22.0,88,2,3532.0,22419.0
12,13,16.0,38,1,1985.0,36994.0
3,7,11.0,53,9,11261.0,22532.0
4,23,9.79,62,0,11804.0,27402.0
5,0,17.0,82,2,8758.0,25822.0
12,1,14.0,82,1,4013.0,23156.0
6,0,25.0,78,3,4345.0,27957.0
11,0,9.0,87,1,2045.0,27002.0
2,7,8.7,66,3,7277.0,24954.0
11,15,19.0,34,3,3231.0,27788.0
2,16,13.23,67,2,5876.0,31565.0
4,3,16.23,62,1,7780.0,23160.0
1,22,10.0,87,2,2129.0,33770.0
1,4,7.56,42,3,8946.0,23633.0
10,19,23.23,65,2,9990.0,35937.0
9,15,25.89,28,2,6901.0,26286.0
5,3,10.39,68,2,8015.0,22503.0
11,15,17.0,77,4,3888.0,27212.0
3,6,18.0,55,5,5440.0,25682.0
6,2,21.82,73,1,4881.0,25346.0
3,2,8.0,93,1,4760.0,23429.0
9,3,17.01,60,7,5033.0,23719.0
3,19,15.0,82,0,1822.0,32137.0
1,10,15.0,62,4,12274.0,37853.0
1,11,10.0,66,2,5396.0,29353.0
1,22,8.0,81,1,3605.0,35507.0
6,15,27.78,36,3,3964.0,28214.0
12,13,17.0,36,3,6673.0,34271.0
5,20,20.44,75,3,3516.0,24820.0
10,9,12.94,89,1,2860.0,31125.0
10,6,19.0,66,0,13179.0,26669.0
7,0,27.14,62,0,3745.0,28682.0
7,23,27.0,74,3,4112.0,29658.0
7,22,24.22,78,4,6455.0,34345.0
9,22,25.0,78,1,1049.0,31075.0
2,10,15.25,64,1,10144.0,26337.0
9,6,15.69,70,0,5060.0,25326.0
1,21,7.92,50,4,10185.0,25815.0
5,9,13.68,82,1,1753.0,22576.0
7,10,28.1,78,0,546.0,37260.0
8,4,22.18,64,1,3092.0,21793.0
11,20,11.0,50,0,1499.0,36454.0
3,0,10.0,81,0,5150.0,25472.0
2,16,13.35,79,2,3596.0,31273.0
8,13,28.86,42,1,3079.0,28992.0
6,2,17.25,43,2,4445.0,23577.0
8,16,34.56,40,1,10596.0,30452.0
12,15,16.0,44,4,7329.0,33914.0
12,19,13.0,76,1,4355.0,37104.0
2,7,8.2,89,3,12115.0,31651.0
2,23,9.2,46,1,11086.0,29201.0
